Country (NATO accession year),Canada (1949),USA (1949),Albania [1] (2009),Belgium (1949),Bulgaria [2] (2004),Croatia [3] (2009),Czech Rep. [4] (1999),Denmark (1949),Estonia [5] (2004),France [6] (1949),W. Germany/Germany (1955),Greece [7] (1952),Hungary (1999),Italy [8] (1949),Latvia [9] (2004),Lithuania (2004),Luxembourg (1949),Netherlands (1949),Norway (1949),Poland [10] (1999),Portugal (1949),Romania (2004),Slovakia (2004),Slovenia (2004),Spain (1982),Turkey (1952),UK [11] (1949)
Currency/Unis,m. Can$,m. US$,m. Leks,m. Euros,m. Leva,m. Kunes,m. Koruny,m. Kroner,m. Euro,m. Euro,m. Euro,m. Euro,b. Forint,m. Euro,m. Lats,m. Litai,m. Euro,m. Euro,m. Kroner,m. Zloty,m. Euro,m. New Lei,m. Euro,m. Euro,m. Euro,m. Lira,m. Pound
1949,372,13503,,205,,,,360,,730,,4.8,,156,,,2.8,309,370,,7.1,,,,,0.00056,779
1950,495,14307,,205,,,,359,,852,,5.8,,182,,,4.2,409,357,,7.6,,,,,0.00060,849
1951,1220,33059,,332,,,,475,,1343,,7.7,,236,,,6.5,481,572,,7.7,,,,,0.00065,1149
1952,1875,47598,,495,,,,676,,1910,,7.8,,269,,,10.8,569,831,,8.4,,,,,0.00073,1561
1953,1970,49377,,491,,,,889,,2086,3167,8.1,,248,,,12.1,604,1067,,9.9,,,,,0.00083,1681
1954,1771,42786,,513,,,,885,,1785,3214,10.1,,280,,,14.0,718,1141,,10.5,,,,,0.00093,1569
1955,1819,40371,,423,,,,920,,1680,3775,10.8,,285,,,15.2,771,953,,11.2,,,,,0.0011,1567
1956,1888,41513,,423,,,,936,,2240,3687,14.5,,302,,,9.8,841,967,,11.5,,,,,0.0012,1615
1957,1829,44159,,455,,,,1012,,2378,4582,13.1,,316,,,10.9,837,1049,,11.9,,,,,0.0013,1574
1958,1740,45096,,454,,,,988,,2526,3504,13.1,,334,,,10.6,752,1024,,12.4,,,,,0.0015,1591
1959,1642,45833,,463,,,,986,,2733,5669,13.9,,344,,,10.0,683,1107,,14.1,,,,,0.0022,1589
1960,1654,45380,,475,,,,1113,,2921,6194,15.0,,367,,,6.5,784,1058,,15.1,,,,,0.0024,1655
